Current,Next,I_next,I_current
Chance #3,Reading Railroad,5,36
Reading Railroad,St. Charles Place,11,5
St. Charles Place,Tennessee Ave,18,11
Tennessee Ave,Free Parking,20,18
Free Parking,Illinois Ave,24,20
Illinois Ave,North Carolina Ave,32,24
North Carolina Ave,Boardwalk,39,32
Boardwalk,Connecticut Ave,9,39
Connecticut Ave,Pennsylvania Railroad,15,9
Pennsylvania Railroad,Chance #2,22,15
Chance #2,Illinois Ave,24,22
Illinois Ave,Pacific Ave,31,24
Pacific Ave,Luxury Tax,38,31
Luxury Tax,Go,0,38
Go,St. Charles Place,11,0
St. Charles Place,St. James Place,16,11
St. James Place,Free Parking,20,16
Free Parking,Marvin Gardens,29,20
Marvin Gardens,Luxury Tax,38,29
Luxury Tax,Reading Railroad,5,38
Reading Railroad,States Ave,13,5
States Ave,Community Chest #2,17,13
Community Chest #2,Chance #2,22,17
Chance #2,New York Ave,19,22
New York Ave,Ventnor Ave,27,19
Ventnor Ave,Pennsylvania Ave,34,27
Pennsylvania Ave,Boardwalk,39,34
Boardwalk,Reading Railroad,5,39
Reading Railroad,Pennsylvania Railroad,15,5
Pennsylvania Railroad,Indiana Ave,23,15
Indiana Ave,Pacific Ave,31,23
Pacific Ave,Luxury Tax,38,31
Luxury Tax,Oriental Ave,6,38
Oriental Ave,Virginia Ave,14,6
Virginia Ave,Kentucky Ave,21,14
Kentucky Ave,North Carolina Ave,32,21
